job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools
Data Center Engineer,Full Time,Confidential Company - ,"New Cairo, Cairo",'2 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Software', 'Computer Science', 'Cloud', 'Software Engineering', 'CCNA', 'Networking', 'Cisco', 'CCNP', 'Servers', 'VSPHER', 'Vmware', 'Backup Solutions'"
Implementation Engineer,Full Time,Trufla,"Heliopolis, Cairo",'More than 2 years','Experienced (Non-Manager)','Not Specified','Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Software', 'JavaScript', 'Data Processing', 'English', 'Computer Science', 'Cloud', 'MySQL', 'Information Technology (IT)', 'IT', 'Linux OS', 'CI/CD', 'Engineering', 'React', 'Implementation', 'JIRA', 'AWS Cloud'"
Data Governance Expert,Full Time,World of systems and software,"New Cairo, Cairo",'5 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'Computer Science', 'DAMA Certified', 'Information Technology (IT)', 'CDMP', 'TOGAF', 'TOGAF®️', 'Database SQL Server', 'Data Entry', 'Data Management', 'Data Governance (DG)', 'Stewardship', 'Professional Itil', 'ITIL', 'Data Governance'"
Data Management Specialist,Full Time,M.Srour,"Imbaba, Giza",'0 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'4000 to 5000 EGP Per Month, Working hours:\n10am - 7pm and one day off.'","'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'computer', 'Programming', 'Data Analysis Expressions (DAX)', 'Engineering', 'Big Data Analytics', 'Microsoft Office', 'English', 'Microsoft Excel', 'Data Analysis', 'Microsoft Power BI', 'Pandas', 'Retail', 'Information Technology (IT)', 'Business Analysis', 'Power BI', 'NumPy', 'Business', 'Computer Science', 'BI', 'Data Entry', 'Python'"
System Analyst,Full Time,Qsource,"Maadi, Cairo",'3 to 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'System Integration', 'Information Technology (IT)', 'SDLC', 'Business Analysis', 'Design', 'Data Analysis', 'Testing', 'System Analysis', 'Computer Engineering', 'Analysis', 'Software Development'"
Planning Engineer -Section Head,Full Time,MB for Engineering,"6th of October, Giza",'4 to 6 years','Manager ',"""Bachelor's Degree""",'Confidential',"'Manufacturing/Production', 'Operations/Management', 'Engineering - Mechanical/Electrical'","'Project Management', 'Electrical', 'Planning', 'MBA', 'FMCG', 'SAP', 'Engineering', 'Management'"
Network Engineer,Full Time,Capital IT,"Nasr City, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'5000 to 6000 EGP Per Month',"'Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Science', 'English', 'Information Technology (IT)', 'OSI', 'CCNA', 'Networking', 'Cisco', 'CCNP', 'TCP/IP', 'HP', 'Networks', 'Engineering', 'aruba', 'AutoCAD', 'Telecommunication', 'CCDA'"
Senior IT Systems Engineer - Cairo,Full Time,LEONI Wiring System Egypt S.A.E,"Nasr City, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Computer Science', 'Information Technology (IT)', 'Software Engineering', 'CCNA', 'Software Development', 'DHCP', 'Engineering', 'Network', 'Communication skills', 'Vmware', 'DNS', 'MCSE'"
Senior Test Engineer,Full Time,Network International -Egypt,"Dokki, Giza",'4 to 10 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Quality', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Testing', 'Computer Science', 'Automation'"
Sr. Foreign Procurement Engineer,Full Time,Elsewedy industries,"10th of Ramadan City, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Logistics/Supply Chain', 'Engineering - Mechanical/Electrical', 'Purchasing/Procurement'","'Electrical Engineering', 'Procurement', 'Purchasing', 'Engineering', 'Supply Chain', 'Foreign Procurement'"
