job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools
Research Analyst & Market Researcher,Full Time,Icity,"Maadi, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Media/Journalism/Publishing', 'Marketing/PR/Advertising'","'E-Marketing', 'Communication skills', 'analytical', 'Analysis', 'Research', 'market', 'Communication', 'Market Research', 'Social Media', 'Marketing'"
Senior Financial Analyst - Giza,Full Time,Confidential Company - ,"6th of October, Giza",'5 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, 2 Months Bonus + Annual Profit Share'","'Accounting/Finance', 'Analyst/Research'","'Finance', 'Financial Management', 'Commerce', 'Financial Analysis', 'Accounting'"
Business Analyst (Salesforce),Full Time,FlairsTech,"Cairo, Egypt",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Communication skills', 'Business Analysis', 'Analyst', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Management', 'BI'"
Fintech Business Analyst / Product Owner,Full Time,Confidential Company - ,"Maadi, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development'","'Business Analysis', 'Analysis', 'Business Analyst', 'Information Technology (IT)', 'Analyst'"
Sales Analyst,Full Time,Cairo Three A  for Agricultural and Animal Production,"New Cairo, Cairo",'2 to 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Sales/Retail'","'Sales', 'Analysis', 'sales skills', 'FMCG', 'Sales Analysis', 'Analyst'"
Senior FP&A Analyst,Full Time,Confidential Company - ,"Heliopolis, Cairo",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Accounting/Finance', 'Analyst/Research'","'Spreadsheets', 'Financial Planning', 'Finance', 'Margin Analysis', 'Pricing Analysis', 'SAP', 'Financial Analysis', 'Financial Reports', 'Budgeting', 'General Ledger (GL)', 'English'"
Senior System Analyst,Full Time,FlairsTech,"Maadi, Cairo",'5 to 10 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Analysis', 'UML', 'Development', 'Design', 'Analysis', 'Agile', 'business', 'Software', 'Software Development', 'Engineering', 'Computer Science', 'Information Technology (IT)'"
Financial Analyst - French Speaker,Full Time,World Vest Base (WVB ),"Heliopolis, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)','Not Specified','Confidential',"'Accounting/Finance', 'Analyst/Research'","'Analysis', 'Computer Skills', 'Microsoft Office', 'Financial Analysis', 'Financial Reports', 'Accounting', 'Oracle', 'Financial Data'"
Senior Big Data Engineer - Cairo,Full Time,Confidential Company - ,"Nasr City, Cairo",'4 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, We offer the highest competitive salaries in the market-Health Insurance (Medright) elite-Social Insurance-fixed Internet allowance- Additional Health Package Allowance - Mobile Allowance, Promotions.'","'IT/Software Development', 'Engineering - Telecom/Technology'","'Python', 'Agile', 'Software', 'Software Development', 'Big Data', 'Software Engineering', 'Troubleshooting', 'Engineering', 'Cloud', 'Programming', 'Computer Science', 'Information Technology (IT)'"
Process Improvement Senior Analyst (French Speaker),Full Time,Xceed,"6th of October, Giza",'More than 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Bonus - Profit Share'",'Analyst/Research',"'Business Analysis', 'Analysis', 'Quality Assurance', 'Six Sigma', 'Process Improvement', 'Green Belt', 'Quality Control', 'English'"
Power BI Analyst,Full Time,Confidential Company - ,"Maadi, Cairo",'1 to 4 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development'","'analytical', 'Analyzing data', 'Information Technology (IT)', 'Powerbi', 'Data', 'Power BI'"
Data Governance Expert,Full Time,World of systems and software,"New Cairo, Cairo",'5 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Stewardship', 'Data Management', 'TOGAF', 'Data Governance', 'Database SQL Server', 'TOGAF®️', 'Professional Itil', 'Data Entry', 'CDMP', 'Data Governance (DG)', 'DAMA Certified', 'Computer Science', 'Information Technology (IT)', 'ITIL'"
Data Scientist,Full Time,Paymob Solutions,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)','Not Specified','Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Machine Learning', 'data scientist', 'Python', 'Data Science', 'AWS', 'Hadoop', 'Java', 'Statistics', 'SQL', 'Engineering', 'Computer Science', 'Data', 'Information Technology (IT)'"
Work Force Analyst,Full Time,Xceed,"6th of October, Giza",'More than 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Bonus, Profit Share'",'Analyst/Research',"'Workforce', 'CSR', 'Analysis', 'Planning', 'Microsoft PowerPoint', 'Arabic', 'English', 'CMD', 'Microsoft Office', 'Microsoft Word', 'Microsoft Excel', 'Microsoft Outlook', 'Reasearch'"
